"","ODS_Code","Role","Name","geo_match","LAT","LON"
"1","FNN87","PHARMACY","COTHAM PHARMACY","UPRN",51.4643571,-2.6091639
"2","FMJ56","PHARMACY","SUPERDRUG PHARMACY","UPRN",53.7486484,-2.4831989
"3","FJW05","PHARMACY","HENDON PHARMACY","UPRN",51.5826328,-0.2302761
"4","FEC86","PHARMACY","DAY LEWIS PHARMACY","UPRN",50.4745232,-3.5266171
"5","FTX36","PHARMACY","MARLOW PHARMACY","UPRN",51.5701306,-0.774891
"6","FLN54","PHARMACY","BOOTS","UPRN",51.6392758,-0.4703746
"7","FAC55","PHARMACY","BOOTS","UPRN",53.5416877,-2.1122434
"8","FFF21","PHARMACY","WELL","PostCode",53.7995470000358,-2.99669885661777
"9","FMC49","PHARMACY","RYBURN PHARMACY (RIPPONDEN) LTD","UPRN",53.6753793,-1.939851
"10","FKM27","PHARMACY","PARK LANGLEY PHARMACY","UPRN",51.3998503,-0.0186054
"11","FHJ50","PHARMACY","HARBS PHARMACY","UPRN",51.4974206,-0.3053448
"12","FPK87","PHARMACY","JARDINES PHARMACY","PostCode",52.0605159731666,-0.748061958212481
"13","FP768","PHARMACY","WELL","UPRN",53.0727424,-2.193558
"14","FRW70","PHARMACY","WYMESWOLD PHARMACY LTD","UPRN",52.8041439,-1.1104258
"15","FXA11","PHARMACY","MARIJAK LTD","UPRN",51.5620456,-0.0101186
"16","FPX36","PHARMACY","EVEREST PHARMACY - TONGE MOOR","PostCode",53.5802699767759,-2.40496750163422
"17","FW701","PHARMACY","MERAJ PHARMACY","UPRN",51.5642235,-0.0112788
"18","FDP63","PHARMACY","SPEEDS HEALTHCARE","PostCode",53.1585495522855,-2.90248829073632
"19","FC440","PHARMACY","AQUEDUCT PHARMACY","UPRN",52.6497551,-2.4600608
"20","FK449","PHARMACY","EYE CHEMIST","UPRN",52.6092998,-0.1875018
"21","FRY03","PHARMACY","NICHOLSON & KEEP","UPRN",51.4288106,0.3852478
"22","FHE60","PHARMACY","ROTHERHAM ROAD PHARMACY","UPRN",53.5527176,-1.3489329
"23","FX858","PHARMACY","BRUNSHAW PHARMACY","UPRN",53.7872089,-2.2104202
"24","FP319","PHARMACY","BRUTONS PHARMACY (DARLASTON)","UPRN",52.5734661,-2.0448347
"25","FMT53","PHARMACY","AKRO PHARMACY","UPRN",51.5427903,0.0371079
"26","FMG97","PHARMACY","BROCKLEHURST CHEMISTS","UPRN",53.752864,-0.40891
"27","FQR82","PHARMACY","DAVENTRY DAY & NIGHT PHARMACY","UPRN",52.2593737,-1.1608453
"28","FN838","PHARMACY","MERCHISTON PHARMACY","PostCode",51.5875238327377,-1.74901967276943
"29","FKH54","PHARMACY","PENWORTHAM PHARMACY","UPRN",53.7501723,-2.7299856
"30","FWW04","PHARMACY","PENSHAW PHARMACY","UPRN",54.8743333,-1.4928131
"31","FXE50","PHARMACY","TOWN PHARMACY","UPRN",52.6065982,1.7274832
"32","FP041","PHARMACY","BOOTS","UPRN",51.3850091,-1.3173958
"33","FJ086","PHARMACY","BOOTS","UPRN",53.3658911,-2.0016224
"34","FQL99","PHARMACY","GLENFIELD PHARMACY","UPRN",52.6559612,-1.1955783
"35","FEX59","PHARMACY","ARELEY KINGS PHARMACY","UPRN",52.3278106,-2.2926302
"36","FWX50","PHARMACY","LALYS PHARMACY","UPRN",50.7951385,-1.0829881
"37","FW463","PHARMACY","POSTBOX PHARMACY","UPRN",53.5854781,-2.2922915
"38","FQR71","PHARMACY","SWINTON LATE NIGHT PHARMACY","UPRN",53.512686,-2.3358739
"39","FMN63","PHARMACY","PHARMACY TWYFORD SURGERY","UPRN",51.0191604,-1.3141897
"40","FE483","PHARMACY","GOOSNARGH PHARMACY","UPRN",53.8223759,-2.6693999
"41","FNJ51","PHARMACY","AMBRO PHARMACY","UPRN",53.6261177,-2.1430716
"42","FQ587","PHARMACY","WELL","UPRN",53.6788601,-1.6648408
"43","FC486","PHARMACY","BOOTS","UPRN",52.9275994,-1.2149523
"44","FVX33","PHARMACY","MY PHARMACY DIRECT","UPRN",53.8600935,-1.9139864
"45","FKQ27","PHARMACY","RADCLIFFE PHARMACY","UPRN",53.5645996,-2.3154514
"46","FN761","PHARMACY","GEE CHEMIST","UPRN",51.4923766,-0.1398251
"47","FQ801","PHARMACY","BOOTS","UPRN",55.7701908,-2.00424
"48","FNX81","PHARMACY","SAMMAN ROAD PHARMACY","UPRN",53.846893,-0.4175099
"49","FPM15","PHARMACY","CIRCLE PHARMACY","UPRN",53.8357114,-1.7824621
"50","FWG24","PHARMACY","BONYMAEN PHARMACY (K.THOMAS)","UPRN",51.6461445,-3.9076693
"51","FV888","PHARMACY","COSTAIN PHARMACY","PostCode",NA,NA
"52","FGR04","PHARMACY","GRANVILLE ROAD PHARMACY","UPRN",53.7517876,-2.5020695
"53","FCX96","PHARMACY","RAJ'S CHEMIST","UPRN",53.7962205,-1.8140423
"54","FQP07","PHARMACY","DAY LEWIS PHARMACY","UPRN",51.5898801,0.1680683
"55","FMJ37","PHARMACY","BOOTS","UPRN",51.3405221,0.7338172
"56","FF071","PHARMACY","THACKLEY PHARMACY","UPRN",53.8423359,-1.7373616
"57","FFT46","PHARMACY","BRADWELL PHARMACY","UPRN",52.575486,1.701429
"58","FC345","PHARMACY","KURAMED PHARMACY","PostCode",51.5985779816689,-0.340415448647848
"59","FVG09","PHARMACY","BOOTS","UPRN",53.4033885,-1.502258
"60","FX746","PHARMACY","RAINHILL PHARMACY","UPRN",53.4173469,-2.7690522
"61","FDD50","PHARMACY","ELITE PHARMACY","UPRN",51.54303,-0.346943
"62","FNT31","PHARMACY","WELL","UPRN",53.3919774,-3.1775919
"63","FAD92","PHARMACY","THE VILLAGE PHARMACY","UPRN",51.5129529,-0.6474182
"64","FN679","PHARMACY","TESCO INSTORE PHARMACY","UPRN",53.0227118,-2.1804965
"65","FTC36","PHARMACY","LEGH STREET PHARMACY","UPRN",53.452526,-2.6444441
"66","FD190","PHARMACY","WYBERS WOOD PHARMACY","UPRN",53.564813,-0.1385858
"67","FK722","PHARMACY","BRERETON PHARMACY","PostCode",52.7474800392371,-1.92431669367698
"68","FAT05","PHARMACY","EVEREST PHARMACY - LANGDALE","PostCode",53.7995470000358,-2.99669885661777
"69","FWM87","PHARMACY","AR & H DAVIES","UPRN",51.9938351,-3.7958771
"70","FKR18","PHARMACY","WELL","UPRN",53.1446578,-2.3673959
"71","FWV12","PHARMACY","MEDIHUB PHARMACY","UPRN",51.7142966,-4.0413126
"72","FP637","PHARMACY","LINCOLN CO-OP CHEMISTS","UPRN",52.9142232,-0.6660174
"73","FWM49","PHARMACY","NORTH ROAD PHARMACY","UPRN",51.4985546,-3.193016
"74","FVH74","PHARMACY","SHEPPARDS PHARMACY","UPRN",51.7008206,-3.4252187
"75","FRA82","PHARMACY","BLACKSTONE PHARMACY","UPRN",53.7825107,-1.7354906
"76","FDL94","PHARMACY","WOODLANDS CHEMIST","UPRN",51.8953615,-0.4354684
"77","FEW67","PHARMACY","TEESSIDE PHARMACY","UPRN",54.5746693,-1.2362691
"78","FCF83","PHARMACY","WELL","UPRN",52.5704575,1.1127221
"79","FFY65","PHARMACY","BOOTS","UPRN",51.4538133,-0.9708313
"80","FET28","PHARMACY","HOLME HALL PHARMACY","UPRN",53.2451804,-1.4692487
"81","FF368","PHARMACY","TESCO IN-STORE PHARMACY","UPRN",52.1845548,1.0184881
"82","FGT79","PHARMACY","DRUGS2U PHARMACY","UPRN",52.2159215,-2.7323176
"83","FV519","PHARMACY","WELL","UPRN",53.5784714,-1.4176821
"84","FFD95","PHARMACY","PUSH PHARMACY","PostCode",51.5458879613745,0.0226093265681916
"85","FJ668","PHARMACY","ALLIED PHARMACY EARLHAM WEST","UPRN",52.6316869,1.2413156
"86","FRE39","PHARMACY","CAMBERLEY PHARMACY","UPRN",51.3359729,-0.7415796
"87","FP222","PHARMACY","CLICKRX","UPRN",51.6015762,0.0391308
"88","FA688","PHARMACY","BOOTS","UPRN",52.708436,-2.7539026
"89","FQN29","PHARMACY","NEW YORK PHARMACY","UPRN",55.0249153,-1.4880995
"90","FWQ61","PHARMACY","WELL","UPRN",51.7807658,-3.2084797
"91","FV856","PHARMACY","NEWBURN PHARMACY","UPRN",54.985067,-1.7436315
"92","FKC86","PHARMACY","PHARMACY AT SPRING GARDENS","UPRN",52.1916765,-2.216367
"93","FXC46","PHARMACY","MANOR PHARMACY","UPRN",53.7259363,-2.5241511
"94","FN752","PHARMACY","HAYWOOD PHARMACY","UPRN",52.8016397,-2.0052919
"95","FPV83","PHARMACY","SUPERDRUG PHARMACY","UPRN",51.4853534,-0.2021033
"96","FK014","PHARMACY","WELL","UPRN",53.4782223,-2.1109323
"97","FDD30","PHARMACY","SUPERDRUG PHARMACY","UPRN",54.8572189,-1.5735765
"98","FAR16","PHARMACY","TESCO INSTORE PHARMACY","UPRN",52.6895552,-2.4930122
"99","FVX96","PHARMACY","COHENS CHEMIST","PostCode",51.3384463610022,-0.505323676768291
"100","FE682","PHARMACY","HIGHEM PHARMACY","UPRN",52.6316882,-1.1197068
"101","FC554","PHARMACY","VILLAPHARM LTD","UPRN",52.0037458,1.0504746
"102","FCW09","PHARMACY","PRESTFORD LIMITED","UPRN",53.6788601,-1.6648408
"103","FHA96","PHARMACY","PEAK PHARMACY","UPRN",53.1682417,-1.4124659
"104","FW085","PHARMACY","BOOTS","UPRN",50.0852393,-5.3158134
"105","FX727","PHARMACY","TESCO INSTORE PHARMACY","UPRN",53.0358685,-1.1962705
"106","FWH58","PHARMACY","JHOOTS PHARMACY","UPRN",51.8905674,-0.5269134
"107","FDX94","PHARMACY","DARTON PHARMACY","UPRN",53.5863553,-1.5302023
"108","FTF42","PHARMACY","WELL","UPRN",52.6059869,1.2797028
"109","FJ842","PHARMACY","CHURCHFIELDS PHARMACY","UPRN",51.598879,0.0203684
"110","FJV53","PHARMACY","BOOTS","PostCode",52.4780227313172,-1.91358843853447
"111","FVR41","PHARMACY","SPARKBROOK PHARMACY","UPRN",52.4635898,-1.8769311
"112","FD145","PHARMACY","HIGHER IRLAM PHARMACY","UPRN",53.4523509,-2.4115624
"113","FWD98","PHARMACY","GLEN PHARMACY","UPRN",51.6771678,-4.7024891
"114","FLT52","PHARMACY","KELLY'S PHARMACY","UPRN",53.4829532,-2.9352642
"115","FY215","PHARMACY","BOOTS","UPRN",53.3497396,-3.002667
"116","FP975","PHARMACY","WELL","UPRN",53.4457441,-2.1584085
"117","FKE74","PHARMACY","NEWDAYS PHARMACY","UPRN",51.4776104,-0.8669229
"118","FH575","PHARMACY","SK CHEMISTS","UPRN",53.458967,-2.9926021
"119","FW416","PHARMACY","SOLENT PHARMACY","UPRN",50.920742,-1.4215861
"120","FHW45","PHARMACY","ROWLANDS PHARMACY","UPRN",53.0122405,-1.3501261
"121","FK095","PHARMACY","KENILWORTH PHARMACY","UPRN",52.3432674,-1.577337
"122","FCH29","PHARMACY","KNIGHTS WEST HEATH PHARMACY","UPRN",52.3989346,-1.9608833
"123","FT360","PHARMACY","TOTAL HEALTH PHARMACY","UPRN",52.5707451,0.8267298
"124","FHG02","PHARMACY","COLDEN CHEMIST","UPRN",50.9978167,-1.316471
"125","FMF20","PHARMACY","BOOTS","UPRN",54.9480061,-1.5681363
"126","FXV84","PHARMACY","BOWNESS PHARMACY","UPRN",53.5351494,-2.4178868
"127","FGF64","PHARMACY","PAYDENS PHARMACY","UPRN",51.3802051,0.5080191
"128","FNJ94","PHARMACY","PRIME HEALTH PHARMACY","UPRN",53.7983511,-1.5713653
"129","FR797","PHARMACY","DUBISON LTD","UPRN",51.5473568,-0.2496344
"130","FEE04","PHARMACY","GREENLEAF PHARMACY","UPRN",53.5480403,-2.2933778
"131","FA511","PHARMACY","COHENS CHEMIST","UPRN",53.6213611,-2.6635678
"132","FWF44","PHARMACY","ROWLANDS PHARMACY","UPRN",52.7220874,-4.0539737
"133","FT669","PHARMACY","CASTLEGATE PHARMACY","UPRN",55.7716013,-2.0077627
"134","FE288","PHARMACY","HARTSHORNE CHEMIST","UPRN",52.6202692,-1.9550819
"135","FL209","PHARMACY","TESCO INSTORE PHARMACY","UPRN",51.776339,-0.2203778
"136","FJK18","PHARMACY","OPENSHAW INTERNET PHARMACY","UPRN",53.4831736,-2.1875909
"137","FRP10","PHARMACY","THACKER'S PHARMACY","UPRN",53.400968,-2.2884053
"138","FP007","PHARMACY","CARE PHARMACY","UPRN",52.4885052,-1.8312833
"139","FQ217","PHARMACY","SUPERDRUG PHARMACY","UPRN",53.7431017,-0.3347798
"140","FJW26","PHARMACY","POOL PHARMACY","UPRN",53.9022169,-1.6286871
"141","FNL37","PHARMACY","RAWMARSH PHARMACY","UPRN",53.4595879,-1.3440499
"142","FWR61","PHARMACY","BOOTS","UPRN",53.1395653,-4.2719058
"143","FJ381","PHARMACY","ASDA PHARMACY","UPRN",52.7088073,-2.4341292
"144","FN869","PHARMACY","CLICK PHARMACY","UPRN",51.5487441,0.0251428
"145","FEK41","PHARMACY","NC & B LUNT","UPRN",53.3425107,-2.7335656
"146","FWR31","PHARMACY","BOOTS","UPRN",51.663525,-3.8030725
"147","FED38","PHARMACY","WELL","UPRN",52.082739,0.4371713
"148","FRP99","PHARMACY","WEST ELLOE PHARMACY","UPRN",52.7942059,-0.14814
"149","FN439","PHARMACY","PENDER PHARMACY","UPRN",51.4431574,0.369279
"150","FWV32","PHARMACY","THE PHARMACY RHOSNEIGR","UPRN",53.2272921,-4.5216516
"151","FMQ39","PHARMACY","WELLBEING PHARMACY","UPRN",52.7132393,1.4086847
"152","FFL85","PHARMACY","TUPTON PHARMACY","UPRN",53.1896102,-1.4087334
"153","FMG43","PHARMACY","ROWLANDS PHARMACY","UPRN",51.3378341,-0.6401882
"154","FHW34","PHARMACY","GRAND HEALTH PHARMACY","PostCode",51.4726314081559,0.170074395662992
"155","FTC25","PHARMACY","PALMERS PHARMACY","UPRN",51.3731563,0.5252662
"156","FGH19","PHARMACY","BOOTS","UPRN",51.6706908,-0.3971809
"157","FPJ78","PHARMACY","CRESTPHARMACY - HILLFIELDS","UPRN",52.4134184,-1.4991836
"158","FGM53","PHARMACY","HORTON GRANGE PHARMACY","UPRN",53.7883855,-1.7783018
"159","FDQ95","PHARMACY","KAMSONS PHARMACY","UPRN",51.1175301,-0.153774
"160","FA884","PHARMACY","JHOOTS PHARMACY","UPRN",54.1358895,-0.7974077
"161","FLQ12","PHARMACY","MODBURY PHARMACY","UPRN",50.3490596,-3.8861768
"162","FR678","PHARMACY","PAYDENS PHARMACY","UPRN",51.2574595,-0.0013868
"163","FFJ22","PHARMACY","ASDA PHARMACY","UPRN",53.5778796,-2.2733942
"164","FEX36","PHARMACY","IMAAN PHARMACY","UPRN",53.5338511,-2.136981
"165","FG666","PHARMACY","CO-CHEM PHARMACY","UPRN",52.5063188,-1.9089756
"166","FNQ71","PHARMACY","HOPE FARM PHARMACY","UPRN",53.2652078,-2.9234425
"167","FJ806","PHARMACY","ASCENT PHARMACY - CLOWNE","PostCode",53.2755655728675,-1.2637538614676
"168","FVH26","PHARMACY","MEDICHEM PHARMACY","UPRN",53.8221307,-1.5321443
"169","FCC18","PHARMACY","SUPERDRUG PHARMACY","UPRN",51.4354631,-0.4667616
"170","FM040","PHARMACY","BENSHAM PHARMACY","UPRN",54.9545387,-1.6078989
"171","FTH28","PHARMACY","MARSDEN PHARMACY","PostCode",53.5934374051532,-0.678626033502454
"172","FTL30","PHARMACY","ALLENS PHARMACY","UPRN",51.5950503,0.023375
"173","FD274","PHARMACY","YARDLEY PHARMACY","UPRN",52.4624598,-1.8180771
"174","FPK16","PHARMACY","EARLS BARTON PHARMACY","UPRN",52.2651283,-0.7520796
"175","FE534","PHARMACY","RUSHOLME PHARMACY","UPRN",53.4520722,-2.2221577
"176","FY192","PHARMACY","BOOTS","UPRN",53.5516442,-1.4793823
"177","FTX84","PHARMACY","DAY LEWIS PHARMACY","UPRN",51.4779279,-0.8662814
"178","FDF16","PHARMACY","WEST STREET PHARMACY","UPRN",51.8859273,-0.5218487
"179","FQX60","PHARMACY","ORRELL PARK PHARMACY","UPRN",53.4624677,-2.9680115
"180","FEF87","PHARMACY","COHENS CHEMIST","UPRN",53.7547994,-2.4788959
"181","FKE78","PHARMACY","BETTERLIFE PHARMACY","PostCode",52.430533395429,-1.5318554588432
"182","FFG85","PHARMACY","RITECARE PHARMACY","UPRN",53.3425051,-2.8670311
"183","FQ318","PHARMACY","MIDLANDS PHARMACY","UPRN",52.9571361,-1.1929525
"184","FL517","PHARMACY","COPPICE PHARMACY","UPRN",53.4146573,-2.3511401
"185","FCX14","PHARMACY","WELL","UPRN",54.1181513,-2.5108023
"186","FCD27","PHARMACY","HEBDEN BRIDGE PHARMACY","UPRN",53.744189,-2.0108203
"187","FWR28","PHARMACY","BOOTS","UPRN",51.6179726,-3.966422
"188","FJW10","PHARMACY","CONWAY PHARMACY","UPRN",52.7172944,-2.7230553
"189","FR289","PHARMACY","BRENTMEAD CHEMISTS","UPRN",51.5468948,-0.2506184
"190","FFY02","PHARMACY","BOOTS","UPRN",52.4342766,-1.8922516
"191","FL779","PHARMACY","BRITANNIA PHARMACY","UPRN",51.5385626,0.0987523
"192","FHL39","PHARMACY","ASDA PHARMACY","UPRN",53.5037394,-2.5250597
"193","FF134","PHARMACY","BERWICK PHARMACY","PostCode",55.771485480338,-2.00754546012513
"194","FCH32","PHARMACY","BOOTS","UPRN",52.8038646,0.0155787
"195","FPK69","PHARMACY","WELLBEING PHARMACY","UPRN",51.0876131,-0.7329068
"196","FCD08","PHARMACY","BOOTS","UPRN",53.0035657,-1.127979
"197","FQ702","PHARMACY","TESCO PHARMACY","UPRN",52.7966995,-1.6340463
"198","FJE67","PHARMACY","THE WELLBEING PHARMACY","UPRN",51.2693237,-0.841077
"199","FC329","PHARMACY","SWETTENHAM CHEMISTS","UPRN",53.3316597,-2.9781115
"200","FT251","PHARMACY","BOOTS","UPRN",50.6280287,-3.448319
"201","FEV35","PHARMACY","TESCO INSTORE PHARMACY","UPRN",50.8320318,-0.4260921
"202","FRV81","PHARMACY","DUDLEY WOOD PHARMACY","UPRN",52.4803211,-2.0891642
"203","FH219","PHARMACY","BLACKPOOL PHARMACY","UPRN",53.7970509,-3.0080825
"204","FGQ49","PHARMACY","BOOTS","PostCode",52.7949063182261,-2.10233068486719
"205","FN294","PHARMACY","MEDISURE PHARMACY","UPRN",52.5770873,-1.9827779
"206","FX194","PHARMACY","THE STOREHOUSE PHARMACY","UPRN",54.8098143,-1.5045274
"207","FXR89","PHARMACY","PARK PARADE PHARMACY","UPRN",51.1776206,-0.1668262
"208","FQ264","PHARMACY","SANTAS PHARMACY","UPRN",51.5703562,-0.1141749
"209","FWH75","PHARMACY","NEW INN PHARMACY","UPRN",51.6898777,-3.0094908
"210","FH253","PHARMACY","LOWER GREEN PHARMACY","UPRN",52.6007386,-2.1594972
"211","FWQ97","PHARMACY","MORRISONS PHARMACY","UPRN",53.2264036,-4.1340537
"212","FHW75","PHARMACY","ST THOMAS PHARMACY","UPRN",50.7144611,-3.5451944
"213","FW084","PHARMACY","RICHMOND PHARMACY","UPRN",52.4775013,-1.8150287
